fecha,cantidad,departamento
20200811,7488,AMAZONAS
20200811,14473,ANCASH
20200811,1493,APURIMAC
20200811,20892,AREQUIPA
20200811,5302,AYACUCHO
20200811,9377,CAJAMARCA
20200811,23576,CALLAO
20200811,7458,CUSCO
20200811,2614,HUANCAVELICA
20200811,8557,HUANUCO
20200811,15528,ICA
20200811,10165,JUNIN
20200811,18165,LA LIBERTAD
20200811,19165,LAMBAYEQUE
20200811,230619,LIMA
20200811,20089,LIMA REGION
20200811,12694,LORETO
20200811,4282,MADRE DE DIOS
20200811,5082,MOQUEGUA
20200811,2798,PASCO
20200811,23182,PIURA
20200811,4062,PUNO
20200811,10603,SAN MARTIN
20200811,4695,TACNA
20200811,4855,TUMBES
20200811,11341,UCAYALI
