fecha,cantidad,departamento,provincia
20200811,3199,AMAZONAS,BAGUA
20200811,120,AMAZONAS,BONGARA
20200811,687,AMAZONAS,CHACHAPOYAS
20200811,1116,AMAZONAS,CONDORCANQUI
20200811,227,AMAZONAS,LUYA
20200811,53,AMAZONAS,RODRIGUEZ DE MENDOZA
20200811,2039,AMAZONAS,UTCUBAMBA
20200811,24,ANCASH,AIJA
20200811,34,ANCASH,ANTONIO RAIMONDI
20200811,6,ANCASH,ASUNCION
20200811,71,ANCASH,BOLOGNESI
20200811,112,ANCASH,CARHUAZ
20200811,12,ANCASH,CARLOS FERMIN FITZCARRALD
20200811,525,ANCASH,CASMA
20200811,22,ANCASH,CORONGO
20200811,3122,ANCASH,HUARAZ
20200811,120,ANCASH,HUARI
20200811,558,ANCASH,HUARMEY
20200811,323,ANCASH,HUAYLAS
20200811,49,ANCASH,MARISCAL LUZURIAGA
20200811,26,ANCASH,OCROS
20200811,31,ANCASH,PALLASCA
20200811,141,ANCASH,POMABAMBA
20200811,107,ANCASH,RECUAY
20200811,8681,ANCASH,SANTA
20200811,94,ANCASH,SIHUAS
20200811,157,ANCASH,YUNGAY
20200811,831,APURIMAC,ABANCAY
20200811,372,APURIMAC,ANDAHUAYLAS
20200811,16,APURIMAC,ANTABAMBA
20200811,41,APURIMAC,AYMARAES
20200811,87,APURIMAC,CHINCHEROS
20200811,105,APURIMAC,COTABAMBAS
20200811,27,APURIMAC,GRAU
20200811,18563,AREQUIPA,AREQUIPA
20200811,294,AREQUIPA,CAMANA
20200811,281,AREQUIPA,CARAVELI
20200811,148,AREQUIPA,CASTILLA
20200811,676,AREQUIPA,CAYLLOMA
20200811,27,AREQUIPA,CONDESUYOS
20200811,740,AREQUIPA,ISLAY
20200811,24,AREQUIPA,LA UNION
20200811,75,AYACUCHO,CANGALLO
20200811,4068,AYACUCHO,HUAMANGA
20200811,9,AYACUCHO,HUANCA SANCOS
20200811,412,AYACUCHO,HUANTA
20200811,193,AYACUCHO,LA MAR
20200811,211,AYACUCHO,LUCANAS
20200811,191,AYACUCHO,PARINACOCHAS
20200811,18,AYACUCHO,PAUCAR DEL SARA SARA
20200811,8,AYACUCHO,SUCRE
20200811,51,AYACUCHO,VICTOR FAJARDO
20200811,32,AYACUCHO,VILCAS HUAMAN
20200811,164,CAJAMARCA,CAJABAMBA
20200811,3195,CAJAMARCA,CAJAMARCA
20200811,164,CAJAMARCA,CELENDIN
20200811,260,CAJAMARCA,CHOTA
20200811,77,CAJAMARCA,CONTUMAZA
20200811,175,CAJAMARCA,CUTERVO
20200811,257,CAJAMARCA,HUALGAYOC
20200811,3859,CAJAMARCA,JAEN
20200811,583,CAJAMARCA,SAN IGNACIO
20200811,79,CAJAMARCA,SAN MARCOS
20200811,137,CAJAMARCA,SAN MIGUEL
20200811,69,CAJAMARCA,SAN PABLO
20200811,159,CAJAMARCA,SANTA CRUZ
20200811,22357,CALLAO,CALLAO
20200811,31,CUSCO,ACOMAYO
20200811,129,CUSCO,ANTA
20200811,82,CUSCO,CALCA
20200811,36,CUSCO,CANAS
20200811,202,CUSCO,CANCHIS
20200811,44,CUSCO,CHUMBIVILCAS
20200811,5203,CUSCO,CUSCO
20200811,80,CUSCO,ESPINAR
20200811,1307,CUSCO,LA CONVENCION
20200811,31,CUSCO,PARURO
