fecha,cantidad,contagios
15/03/2020,1822,71
16/03/2020,2315,86
17/03/2020,2797,117
18/03/2020,3075,145
19/03/2020,3841,234
20/03/2020,4298,263
21/03/2020,4985,318
22/03/2020,6184,363
23/03/2020,7013,395
24/03/2020,7486,416
25/03/2020,8040,480
26/03/2020,9219,580
27/03/2020,10065,635
28/03/2020,10896,671
29/03/2020,12669,852
30/03/2020,13452,950
31/03/2020,14463,1065
1/04/2020,15587,1323
2/04/2020,16518,1414
3/04/2020,17334,1595
4/04/2020,17841,1746
5/04/2020,19410,2281
6/04/2020,20414,2561
7/04/2020,21555,2954
8/04/2020,39599,4342
9/04/2020,48465,5256
10/04/2020,56681,5897
11/04/2020,65712,6848
12/04/2020,76506,7519
13/04/2020,87116,9784
14/04/2020,102216,10303
15/04/2020,109385,11475
16/04/2020,121468,12491
17/04/2020,127513,13489
18/04/2020,135895,14420
19/04/2020,143745,15628
20/04/2020,148011,16325
21/04/2020,155724,17837
22/04/2020,170400,19250
23/04/2020,185238,20914
24/04/2020,198349,21648
25/04/2020,218195,25331
26/04/2020,232747,27517
27/04/2020,239563,28699
28/04/2020,267612,31190
29/04/2020,296262,33931
30/04/2020,318252,36976
1/05/2020,342498,40459
2/05/2020,355604,42534
3/05/2020,375095,45928
4/05/2020,385492,47372
5/05/2020,406579,51189
6/05/2020,429458,54817
7/05/2020,448020,58526
8/05/2020,473190,61847
9/05/2020,494250,65015
10/05/2020,504930,67307
11/05/2020,512869,68822
12/05/2020,532169,72059
13/05/2020,553302,76306
14/05/2020,587292,80604
15/05/2020,605383,84495
16/05/2020,630482,88541
17/05/2020,650613,92272
18/05/2020,661132,94933
19/05/2020,679582,99485
20/05/2020,715423,104020
21/05/2020,736500,108769
22/05/2020,750526,111698
23/05/2020,788341,115764
24/05/2020,820967,119959
25/05/2020,840922,123979
26/05/2020,875721,129751
27/05/2020,905278,135905
28/05/2020,928797,141779
29/05/2020,963617,148285
30/05/2020,1012708,155671
31/05/2020,1058874,164467
1/06/2020,1076659,170039
2/06/2020,1092646,174884
3/06/2020,1115615,178914
4/06/2020,1135831,183198
5/06/2020,1154468,187400
6/06/2020,1173003,191758
7/06/2020,1191956,196515
8/06/2020,1203985,199696
9/06/2020,1227691,203736
10/06/2020,1255756,208823
11/06/2020,1282478,214788
12/06/2020,1315417,220479
13/06/2020,1338477,225132
14/06/2020,1360839,229736
15/06/2020,1376478,232992
16/06/2020,1396605,237156
17/06/2020,1417911,240908
18/06/2020,1439767,244388
19/06/2020,1461266,247925
20/06/2020,1482563,251388
21/06/2020,1504209,254936
22/06/2020,1517930,257447
23/06/2020,1539746,260810
24/06/2020,1561653,264689
25/06/2020,1583605,268602
26/06/2020,1604521,272364
27/06/2020,1625135,275989
28/06/2020,1645112,279419
29/06/2020,1661324,282365
30/06/2020,1679386,285213
01/07/2020,1699369,288477
02/07/2020,1720261,292004
03/07/2020,1740969,295599
04/07/2020,1761910,299080
05/07/2020,1782846,302718
06/07/2020,1800690,305703
07/07/2020,1821328,309278
08/07/2020,1842316,312911
09/07/2020,1863278,316448
10/07/2020,1883326,319646
11/07/2020,1904242,322710
12/07/2020,1925231,326326
13/07/2020,1943679,330123
14/07/2020,1963921,333867
15/07/2020,1983932,337724
16/07/2020,2003963,341586
17/07/2020,2023996,345537
18/07/2020,2042218,349500
19/07/2020,2063240,353590
20/07/2020,2084311,357681
21/07/2020,2109202,362087
22/07/2020,2133775,366550
23/07/2020,2158770,371096
24/07/2020,2183763,375961
25/07/2020,2206105,379884
26/07/2020,2230247,384797
27/07/2020,2250256,389717
28/07/2020,2270717,395005
29/07/2020,2293612,400683
30/07/2020,2318254,407492
31/07/2020,2348396,414735
01/08/2020,2377948,422183
02/08/2020,2404046,428850
03/08/2020,2417857,433100
04/08/2020,2440184,439890
05/08/2020,2466745,447624
06/08/2020,2493429,455409
07/08/2020,2522993,463875
08/08/2020,2548439,471012
09/08/2020,2573691,478024
10/08/2020,2590078,483133
11/08/2020,2612599,489680
12/08/2020,2643464,498555
13/08/2020,2677014,507996
14/08/2020,2705122,516296
15/08/2020,2738229,525803
16/08/2020,2773412,535946
17/08/2020,2793614,541493
18/08/2020,2818943,549321
19/08/2020,2852011,558420
